account_handle,component_id,component_size,neighbor_count,weighted_degree,within_15m_weight,within_60m_weight,strongest_neighbor,max_shared_edge
nickthegreek5,1,61,49,281,33,139,giannMak,23
Track11John,1,61,34,215,33,110,Briassulis,26
giannMak,1,61,34,191,20,85,nickthegreek5,23
46spiros,1,61,33,156,12,84,nickthegreek5,16
AgelisDimitris,1,61,24,113,13,57,nickthegreek5,17
angelikitsakani,1,61,23,107,5,35,giannMak,15
RockRock222555,1,61,22,90,14,61,nickthegreek5,12
hatz_patty,1,61,22,77,10,44,nickthegreek5,11
chrysib11,1,61,19,77,12,40,giannMak,10
Briassulis,1,61,15,75,9,45,Track11John,26
MenoEdo,1,61,17,62,4,20,nickthegreek5,8
vythos70,1,61,14,52,7,24,nickthegreek5,9
K_Sav215,1,61,18,51,4,23,Track11John,6
sinakatsarou,1,61,12,49,9,34,nickthegreek5,9
MasenkaMm230158,1,61,17,45,4,21,nickthegreek5,6
Loxagos_Mark,1,61,15,43,1,12,nickthegreek5,9
johnblandos,1,61,10,40,3,17,nickthegreek5,9
paliakaravana59,1,61,11,38,7,22,nickthegreek5,9
PitSpencer,1,61,11,29,3,7,MenoEdo,5
mpantazo,1,61,9,28,2,10,nickthegreek5,5
Agie2a,1,61,9,24,1,8,angelikitsakani,4
DonConsclavios,1,61,9,24,2,14,Track11John,4
Aaagiiisss,1,61,9,20,0,10,nickthegreek5,4
LGkvas,1,61,7,18,3,10,nickthegreek5,5
TheMadoula,1,61,6,18,1,4,nickthegreek5,4
ABCHeckles,1,61,6,17,0,2,nickthegreek5,4
GiotaPapapetrou,1,61,6,17,3,6,nickthegreek5,4
TsigkaEfi,1,61,6,17,1,2,nickthegreek5,4
NonameTZ,1,61,6,16,0,10,nickthegreek5,4
klikr,1,61,7,15,1,4,nickthegreek5,3
galex1908,1,61,6,15,1,4,Track11John,4
Catps66,1,61,5,13,0,3,Track11John,5
ArisBJJ,1,61,4,11,2,7,nickthegreek5,4
Volcom40893832,1,61,5,10,0,1,nickthegreek5,2
Fay82776914F,1,61,4,10,1,4,MasenkaMm230158,4
MKioulafa,1,61,4,10,2,6,giannMak,4
ThanosTzimeros,1,61,3,10,4,8,46spiros,5
NodarasSpiros,1,61,4,9,1,3,nickthegreek5,3
Xeniaxe19580370,1,61,4,9,1,7,RockRock222555,3
Fotinh5,1,61,4,8,0,3,sinakatsarou,2
JSweetGR,1,61,4,8,0,3,nickthegreek5,2
teo_ntaleki,1,61,4,8,1,4,nickthegreek5,2
SagamoreMount,1,61,3,7,1,6,nickthegreek5,3
tasoskar11,1,61,3,7,1,5,nickthegreek5,3
Anthology2026,1,61,3,6,1,2,giannMak,2
InafiZinaf1,1,61,3,6,0,0,nickthegreek5,2
JtfYiannis,1,61,3,6,1,3,nickthegreek5,2
steiger_st28082,1,61,3,6,0,3,vythos70,2
CharilaosPapad1,1,61,2,4,1,3,nickthegreek5,2
EthanAnargyrous,1,61,2,4,0,1,nickthegreek5,2
MariaKoki3,1,61,2,4,0,1,MasenkaMm230158,2
ptableart,1,61,2,4,0,1,nickthegreek5,2
57lista,1,61,1,2,0,0,angelikitsakani,2
JimyWis,1,61,1,2,0,1,46spiros,2
KosmidisStathis,1,61,1,2,0,1,MasenkaMm230158,2
anasiropiastos,1,61,1,2,1,2,TheMadoula,2
dimitris7987,1,61,1,2,0,0,Track11John,2
evangelia_re,1,61,1,2,0,1,nickthegreek5,2
greek_paris_13,1,61,1,2,0,1,Loxagos_Mark,2
nilsholgerson_,1,61,1,2,0,2,Agie2a,2
silaserafim,1,61,1,2,0,2,46spiros,2
